"Repository","owner","name_with_owner","url","homepage_url","description","forks","is_fork","is_mirror","is_private","is_archived","is_template","stars","disk_usage","has_issues_enabled","has_projects_enabled","has_wiki_enabled","merge_commit_allowed","rebase_merge_allowed","squash_merge_allowed","created_at","updated_at","pushed_at"
terraform-octk-aws-sea-dns,BCDevOps,BCDevOps/terraform-octk-aws-sea-dns,https://github.com/BCDevOps/terraform-octk-aws-sea-dns,,,0,false,false,false,false,false,0,9,true,true,true,true,true,true,2020-11-27 14:08:57,2021-02-25 21:18:27,2021-02-12 12:27:16
terraform-octk-tfc-workspace-set,BCDevOps,BCDevOps/terraform-octk-tfc-workspace-set,https://github.com/BCDevOps/terraform-octk-tfc-workspace-set,,A Terraform module for provisioning a set of Terraform Cloud workspaces for a team.,1,false,false,false,false,false,0,10,true,true,true,true,true,true,2020-12-01 15:27:04,2021-01-22 14:27:49,2021-01-22 15:01:36
cloud-guardrails-aws,BCDevOps,BCDevOps/cloud-guardrails-aws,https://github.com/BCDevOps/cloud-guardrails-aws,,Tools to support cloud guardrails implementation and compliance checks for AWS.,0,true,false,false,false,false,0,1756,false,true,true,true,true,true,2020-12-02 16:27:11,2020-12-02 16:27:13,2020-01-08 16:24:23
allure-framework-openshift,BCDevOps,BCDevOps/allure-framework-openshift,https://github.com/BCDevOps/allure-framework-openshift,,Openshift configurations to run Allure,2,false,false,false,false,false,0,70,true,true,true,true,true,true,2020-12-04 09:15:40,2021-03-31 06:33:53,2021-03-31 06:33:50
sig-cli,BCDevOps,BCDevOps/sig-cli,https://github.com/BCDevOps/sig-cli,,Special Interest Group on Developing (SIG) Command Line Interface (CLI),0,false,false,false,false,false,0,5,true,true,true,true,true,true,2020-12-10 12:08:50,2020-12-10 12:08:59,2020-12-10 12:08:56
terraform-octk-aws-sea-network-info,BCDevOps,BCDevOps/terraform-octk-aws-sea-network-info,https://github.com/BCDevOps/terraform-octk-aws-sea-network-info,,,2,false,false,false,false,false,0,13,true,true,true,true,true,true,2021-01-13 11:02:33,2021-04-12 17:44:23,2021-04-12 17:47:16
terraform-octk-aws-workload-alb,BCDevOps,BCDevOps/terraform-octk-aws-workload-alb,https://github.com/BCDevOps/terraform-octk-aws-workload-alb,,,1,false,false,false,false,false,0,15,true,true,true,true,true,true,2021-01-13 11:04:04,2021-03-05 13:23:47,2021-03-05 13:23:45
platform-services-documize,BCDevOps,BCDevOps/platform-services-documize,https://github.com/BCDevOps/platform-services-documize,,,0,false,false,false,false,false,0,90,true,true,true,false,false,true,2021-01-21 09:10:12,2021-03-19 10:15:15,2021-03-19 10:15:13
terraform-octk-aws-sea-routing,BCDevOps,BCDevOps/terraform-octk-aws-sea-routing,https://github.com/BCDevOps/terraform-octk-aws-sea-routing,,A Terraform module to automate creation of routing resources for services running within and AWS SEA Landing Zone.,0,false,false,false,false,false,0,18,true,true,true,true,true,true,2021-02-04 15:01:00,2021-03-10 14:46:51,2021-03-10 14:46:49
terraform-octk-aws-workload-ecr,BCDevOps,BCDevOps/terraform-octk-aws-workload-ecr,https://github.com/BCDevOps/terraform-octk-aws-workload-ecr,,A Terraform module to automate creation and management of Elastic Container Registries within an AWS landing zone/SEA.,1,false,false,false,false,false,0,9,true,true,true,true,true,true,2021-02-18 13:45:25,2021-03-18 10:37:42,2021-03-18 10:37:53
terraform-octk-aws-sea-rocketchat-notifications,BCDevOps,BCDevOps/terraform-octk-aws-sea-rocketchat-notifications,https://github.com/BCDevOps/terraform-octk-aws-sea-rocketchat-notifications,,,1,false,false,false,false,false,0,13,true,true,true,true,true,true,2021-02-19 14:25:38,2021-02-19 14:26:21,2021-03-30 12:22:48
terraform-aws-sea-organization-info-extended,BCDevOps,BCDevOps/terraform-aws-sea-organization-info-extended,https://github.com/BCDevOps/terraform-aws-sea-organization-info-extended,,"A Terraform module that produces a ""view"" of an SEA-based AWS Organization, along with ""extended"" metadata extracted from account-level tags.",0,false,false,false,false,false,0,11,true,true,true,true,true,true,2021-03-15 10:32:04,2021-03-26 07:29:34,2021-03-26 07:29:32
terraform-octk-aws-sea-billing-reports,BCDevOps,BCDevOps/terraform-octk-aws-sea-billing-reports,https://github.com/BCDevOps/terraform-octk-aws-sea-billing-reports,,,0,false,false,true,false,false,0,0,true,true,true,true,true,true,2021-03-26 07:37:56,2021-03-26 10:33:13,2021-03-26 10:33:10
openshift-quota-rec,BCDevOps,BCDevOps/openshift-quota-rec,https://github.com/BCDevOps/openshift-quota-rec,,"An exercise for assessing the Province of BC's OpenShift quota, resource, limit and usage patterns by development teams, and making various data models and recommendations for improving resource allocation and capacity planning.",0,false,false,true,false,false,0,0,true,true,true,true,true,true,2021-03-31 14:34:55,2021-04-20 09:29:53,2021-04-20 14:31:16
terraform-octk-aws-sea-client-vpn-setup,BCDevOps,BCDevOps/terraform-octk-aws-sea-client-vpn-setup,https://github.com/BCDevOps/terraform-octk-aws-sea-client-vpn-setup,,,0,false,false,false,false,false,0,7,true,true,true,true,true,true,2021-04-09 12:26:01,2021-04-09 12:29:28,2021-04-09 12:29:27

