Repository,license-file-exists,readme-file-exists,contributing-file-exists,code-of-conduct-file-exists,changelog-file-exists,security-file-exists,support-file-exists,readme-references-license,binaries-not-present,test-directory-exists,integrates-with-ci,code-of-conduct-file-contains-email,source-license-headers-exist,github-issue-template-exists,github-pull-request-template-exists,javascript-package-metadata-exists,ruby-package-metadata-exists,java-package-metadata-exists,python-package-metadata-exists,objective-c-package-metadata-exists,swift-package-metadata-exists,erlang-package-metadata-exists,elixir-package-metadata-exists,license-detectable-by-licensee,notice-file-exists
cloud-guardrails-aws,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
allure-framework-openshift,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
sig-cli,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-sea-network-info,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-workload-alb,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
platform-services-documize,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-sea-routing,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-workload-ecr,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-sea-rocketchat-notifications,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-aws-sea-organization-info-extended,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
terraform-octk-aws-sea-client-vpn-setup,PASSED,PASSED,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,PASSED,NOT_PASSED_ERROR,NOT_PASSED_ERROR,PASSED,NOT_PASSED_WARN,NOT_PASSED_ERROR,NOT_PASSED_ERROR,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED,IGNORED
