Repository,IssueTotalCount,PrTotalCount,CommitTotalCount,DaysOpen,AverageIssueCountPerDay,AveragePrCountPerDay,AverageCommitCountPerDay,DefaultBranchName
pssg-cordyn-rabbitmq-interface-controller,2,18,11,659,0,0.03,0.02,master
AGOL_getMapFromApp,1,2,3,659,0,0,0,master
AGOL_getSizeFromGroup,1,2,6,659,0,0,0.01,master
FAIBOracle,2,1,60,658,0,0,0.09,master
forestDroughtTool,2,3,60,658,0,0,0.09,master
FAIBCompiler,2,1,76,658,0,0,0.12,master
FAIBBase,2,2,56,658,0,0,0.09,master
eagle-dev-guides,2,52,93,657,0,0.08,0.14,master
cloud-adoption-patterns,3,4,8,657,0,0.01,0.01,master
cas-postgres,4,87,300,657,0.01,0.13,0.46,develop
GDX-Analytics-Looker-Google-MyBusiness,2,14,33,652,0,0.02,0.05,master
eagle-reports,2,18,37,645,0,0.03,0.06,master
EDUC-ISFS,3,1,26,645,0,0,0.04,master
EDUC-STUDENTSUCCESS,3,7,35,645,0,0.01,0.05,master
vc-authn-oidc,44,82,308,644,0.07,0.13,0.48,master
iamp-apps-configs,2,5,8,643,0,0.01,0.01,master
bcparis-service,2,209,845,643,0,0.32,1.31,master
nr-showcase-devops-tools,3,16,50,642,0,0.02,0.08,master
nr-showcase-devops-tools-demo-sq,2,6,12,642,0,0.01,0.02,master
gatsby-source-matomo,3,15,35,642,0,0.02,0.05,master
jrcc-sample-app,2,6,3,639,0,0.01,0,master
rocketgate,5,9,38,639,0.01,0.01,0.06,master
gatsby-source-github-raw,2,14,54,636,0,0.02,0.08,master
native-species-rank-indicator,2,4,216,635,0,0.01,0.34,master
orgbook-configurations,19,80,244,635,0.03,0.13,0.38,master
cas-ggircs-ciip-2018-schema,4,37,41,632,0.01,0.06,0.06,develop
cas-ciip-portal,6,1611,5158,632,0.01,2.55,8.16,develop
fwben,138,16,12,631,0.22,0.03,0.02,master
drake-example,6,5,48,630,0.01,0.01,0.08,main
cas-pipeline,6,43,179,629,0.01,0.07,0.28,master
cas-metascript,2,3,199,629,0,0,0.32,master
bc-sans,4,3,22,628,0.01,0,0.03,master
ols-geocoder,203,36,133,628,0.32,0.06,0.21,dev
forageConversionTool,6,3,12,624,0.01,0,0.02,master
cas-ggircs-metabase-build,3,22,41,623,0,0.04,0.07,develop
aries-cloudagent-container,4,25,60,621,0.01,0.04,0.1,master
new2Q-reports,20,3,35,618,0.03,0,0.06,master
census_geography_bc,3,2,19,616,0,0,0.03,master
ols-util,3,13,30,616,0,0.02,0.05,dev
GDX-Analytics-Looker-Google-MyBusiness-ServiceBC,2,20,56,616,0,0.03,0.09,master
cas-ggircs-ciip-2018-extract,4,36,106,614,0.01,0.06,0.17,develop
common-hosted-email-service,2,89,445,614,0,0.14,0.72,master
bcparis-apps-configs,2,18,48,611,0,0.03,0.08,dev
bcws-psu-research,118,1,1355,611,0.19,0,2.22,master
eagle-common-components,2,1,3,611,0,0,0,master
searchgate,6,16,77,610,0.01,0.03,0.13,master
ocwa-file-scanner,2,1,14,609,0,0,0.02,master
EDUC-CURRI,2,2,28,608,0,0,0.05,master
url-filter-proxy,2,1,14,603,0,0,0.02,master
gitlab-keycloak-group-sync,2,1,50,603,0,0,0.08,master
asdm-postgres,2,2,57,603,0,0,0.09,master
git-sae-ops,2,3,1,603,0,0,0,master
digital-marketplace,2,1,7,602,0,0,0.01,master
von-bc-registries-agent-configurations,5,48,152,601,0.01,0.08,0.25,master
GDX-Analytics-Looker-CleanBC,2,7,19,593,0,0.01,0.03,master
law-society-demo,6,32,87,590,0.01,0.05,0.15,master
Skeena_ESI_Wetlands,2,1,2,590,0,0,0,master
cap-eagle-admin,2,15,1489,589,0,0.03,2.53,develop
cap-eagle-public,2,17,1174,589,0,0.03,1.99,develop
cap-eagle-dev-guides,2,11,93,589,0,0.02,0.16,master
cap-eagle-api,2,38,896,589,0,0.06,1.52,develop
ckanext-bcgov-schema,2,30,86,589,0,0.05,0.15,master
cap-eagle-helper-pods,2,41,116,589,0,0.07,0.2,master
EDUC-PASS,2,1,10,588,0,0,0.02,master
ds-cop-intro-to-r,5,13,162,587,0.01,0.02,0.28,master
moh-prime,4,1224,1701,582,0.01,2.1,2.92,develop
docugate,2,12,28,575,0,0.02,0.05,master
aries-cloudcontroller-node,7,14,59,574,0.01,0.02,0.1,master
fams3,2,524,2210,573,0,0.91,3.85,master
bcgov-r-geo-workshop,28,7,211,572,0.05,0.01,0.37,master
ExitSurveyAdmin,151,5,408,572,0.26,0.01,0.71,master
ppr-deprecated,576,351,463,569,1.01,0.62,0.81,master
mhr,1,0,0,569,0,0,0,
pssg-psd-css,2,57,146,567,0,0.1,0.26,master
moh-bcp,2,220,988,566,0,0.39,1.74,master
moh-address-validation,2,6,24,566,0,0.01,0.04,master
jag-cullencommission,1,1239,2789,562,0,2.2,4.96,master
Biodiversity_CC,2,1,3,560,0,0,0.01,master
telemetry,3,3,58,559,0.01,0.01,0.1,master
EDUC-KEYCLOAK-SOAM,2,267,760,558,0,0.48,1.36,master
popProjApp,2,2,17,558,0,0,0.03,master
hsdProj,3,1,12,558,0.01,0,0.02,master
GCS,3,1,25,558,0.01,0,0.04,master
Forester-Job-Placement,17,42,491,554,0.03,0.08,0.89,master
embc-ess-mod,2,321,1575,552,0,0.58,2.85,master
NRPTI,3,833,1110,552,0.01,1.51,2.01,master
dpdd-snippets,4,5,65,551,0.01,0.01,0.12,master
design-system-web-components,3,9,120,547,0.01,0.02,0.22,master
pipeline-bot,2,87,377,545,0,0.16,0.69,master
cass-api,1,13,517,544,0,0.02,0.95,master
cass-frontend,1,22,1075,544,0,0.04,1.97,master
bc-fwa-river-profiles,10,3,25,544,0.02,0.01,0.05,master
GDX-Analytics-Looker-SBC-Call-Centre,2,8,26,542,0,0.01,0.05,master
invasivesBC-mussels-iOS,7,170,554,540,0.01,0.31,1.03,master
eagle-mobile-inspections,2,29,70,539,0,0.05,0.13,develop
keycloak-group-extension,2,1,22,538,0,0,0.04,master
shinywqg,61,9,357,538,0.11,0.02,0.66,master
nr-metabase-showcase,2,2,9,537,0,0,0.02,master
tukey,2,4,7,533,0,0.01,0.01,master
CANSIM-retail-trade-shiny,4,2,41,533,0.01,0,0.08,master
issuer-kit,81,192,810,533,0.15,0.36,1.52,master
EDUC-STUDENT-API,2,108,465,533,0,0.2,0.87,master
EDUC-PEN-REQUEST-API,4,96,540,532,0.01,0.18,1.01,master
ols-geocoder-cpf-plugin,3,17,40,532,0.01,0.03,0.08,dev
cap-eagle-mobile-inspections,2,3,18,532,0,0.01,0.03,develop
HMCR,3,612,1238,531,0.01,1.15,2.33,master
common-document-generation-service,3,58,229,530,0.01,0.11,0.43,master
digital_marketplace,11,140,1874,530,0.02,0.26,3.53,development
EDUC-SOAM-API,2,27,253,525,0,0.05,0.48,master
sfts2s3,5,8,29,525,0.01,0.02,0.06,master
jag-dps,2,354,1052,523,0,0.68,2.01,master
PIMS,5,1096,1261,523,0.01,2.09,2.41,dev
namerequest,3,368,551,523,0.01,0.7,1.05,main
EDUC-STUDENT-ADMIN,2,550,1844,520,0,1.06,3.54,master
bcsnowdata,2,1,63,520,0,0,0.12,master
digital-policy,7,8,120,520,0.01,0.02,0.23,master
zeva,2,663,117,517,0,1.28,0.23,release-1.25.0
digital.gov.bc.ca,452,203,1308,515,0.88,0.39,2.54,develop
EDUC-INFRA-COMMON,2,91,734,513,0,0.18,1.43,master
digital-principles,23,6,26,512,0.04,0.01,0.05,master
offSiteTrees,2,2,6,511,0,0,0.01,master
Similkameen-WQOs,2,2,28,511,0,0,0.05,master
arcgis_hackers,3,2,31,510,0.01,0,0.06,master
AGOL-PullandPushMetadata,1,3,7,510,0,0.01,0.01,master
AGOL_UsageReport,1,1,2,509,0,0,0,master
bcdevexchange,14,80,275,506,0.03,0.16,0.54,master
MapRobot,1,1,2,506,0,0,0,master
eagle-minio-openshift,0,2,35,505,0,0,0.07,master
sae-virtual-display,2,24,165,505,0,0.05,0.33,develop
SBC_DivApps,4,96,107,504,0.01,0.19,0.21,master
design-research-guide,22,6,206,504,0.04,0.01,0.41,master
smk-tlink,161,36,251,504,0.32,0.07,0.5,develop
MPB-regeneration,3,2,70,498,0.01,0,0.14,master
citz-imb-sp-breadcrumbs,2,8,23,497,0,0.02,0.05,main
BCSC-SS,3,331,1492,497,0.01,0.67,3,dev
business-create-ui,3,195,251,497,0.01,0.39,0.5,main
citz-imb-sp-vdr,2,47,45,496,0,0.09,0.09,master
moose_lch,3,2,28,496,0.01,0,0.06,master
moh-soapui,2,1,7,495,0,0,0.01,master
jag-ceis-crdp-integration,2,1,1,495,0,0,0,master
bcdc2bcdc,1,10,139,492,0,0.02,0.28,dev
bcrs-utilities,2,3,4,492,0,0.01,0.01,master
EDUC-DOCUMENT-API,2,2,14,490,0,0,0.03,master
design-system-temporary,3,11,9,489,0.01,0.02,0.02,master
common-service-showcase,15,36,97,489,0.03,0.07,0.2,gh-pages
EDUC-COURSE-ACHIEVE-API,2,1,5,488,0,0,0.01,master
sbc-search,179,39,857,488,0.37,0.08,1.75,main
sdd-nifi,2,2,54,488,0,0,0.11,develop
bcrs-template-ui,2,1,14,485,0,0,0.03,master
EDUC-COURSE-ACHIEVEMENT-UI,2,11,34,478,0,0.02,0.07,master
zevtesthello,2,3,3,478,0,0.01,0.01,master
diputils,13,2,169,475,0.03,0,0.36,master
nr-arch,7,5,196,470,0.01,0.01,0.42,master
aporeto-demo-project,2,4,37,468,0,0.01,0.08,master
wqg_data,87,3,212,464,0.19,0.01,0.46,master
maltd,3,189,703,464,0.01,0.41,1.51,master
cap-information,2,12,16,462,0,0.03,0.03,master
rsbc-dmf,1,19,5,461,0,0.04,0.01,master
EDUC-curricdrpl,2,4,127,460,0,0.01,0.28,master
devops-credential-issuer,7,21,82,460,0.02,0.05,0.18,master
moh-iam,3,4,173,457,0.01,0.01,0.38,master
GDX-Analytics-Looker-CMSLite-Metadata,2,13,49,456,0,0.03,0.11,master
family-law-act-app,1,199,1283,456,0,0.44,2.81,master
wps,696,213,263,454,1.53,0.47,0.58,main
hosted-application-logging-performance-aggregation-services,2,6,40,453,0,0.01,0.09,master
common-components-wiki,2,43,98,453,0,0.09,0.22,master
common-logging,2,20,65,450,0,0.04,0.14,master
cas-helm,2,13,79,449,0,0.03,0.18,master
openshift-launchpad,2,40,7,449,0,0.09,0.02,master
gwater-report,6,4,66,448,0.01,0.01,0.15,master
wps-api,47,90,90,448,0.1,0.2,0.2,main
wps-web,5,171,147,448,0.01,0.38,0.33,main
cap-eagle-traffic-runner,2,7,21,447,0,0.02,0.05,master
cas-airflow,2,66,338,447,0,0.15,0.76,develop
moh-middleware-test,2,2,2,447,0,0,0,master
bcstats_ohcs_craigslist,17,1,337,446,0.04,0,0.75,master
jag-instrumentation,2,20,67,446,0,0.04,0.15,master
business-schemas,2,55,127,446,0,0.12,0.28,master
EDUC-SERVICES-CARD-API,2,19,135,443,0,0.04,0.3,master
aries-vcr-api-draft,1,0,0,436,0,0,0,
healthgateproxy,2,13,71,435,0,0.03,0.16,master
EDUC-PEN-DEMOG-API,3,20,158,435,0.01,0.05,0.36,master
business-filings-ui,2,194,982,434,0,0.45,2.26,main
RSBC-DataHub-API,3,73,570,433,0.01,0.17,1.32,master
jag-justin-courtlist-api,2,7,35,433,0,0.02,0.08,master
jag-ecrc,2,415,1946,433,0,0.96,4.49,master
Wetland_SkeenaESI_Monitoring,3,3,38,428,0.01,0.01,0.09,master
bcsc-sample-client,2,3,8,427,0,0.01,0.02,master
cloud-adoption-patterns-II,3,3,7,427,0.01,0.01,0.02,master
cloud-pathfinder,790,7,44,427,1.85,0.02,0.1,master
cloud-pathfinder-business-process,207,1,3,427,0.48,0,0.01,master
python_beginning,2,14,42,426,0,0.03,0.1,master
intro-to-r,2,2,52,425,0,0,0.12,master
dipr,6,6,23,425,0.01,0.01,0.05,master
metadata-curator,2,66,300,421,0,0.16,0.71,develop
nr-team-zero,2,1,6,419,0,0,0.01,master
citz-imb-sp-collectionnavigation,2,4,8,419,0,0.01,0.02,main
openshift-launchpad-fe-vue,2,3,7,418,0,0.01,0.02,master
openshift-launchpad-be-node,2,9,6,418,0,0.02,0.01,master
openshift-launchpad-fe-react,2,6,8,418,0,0.01,0.02,master
openshift-launchpad-be-python,2,2,6,418,0,0,0.01,master
citz-imb-sp-peoplepicker,2,3,21,415,0,0.01,0.05,master
elucidate,2,2,61,414,0,0,0.15,main
EDUC-HUB,2,2,15,413,0,0,0.04,master
EDUC-PROMETHEUS-GRAFANA,2,8,65,411,0,0.02,0.16,master
openshift-launchpad-deployment,2,9,30,411,0,0.02,0.07,master
helm-charts,2,14,303,408,0,0.03,0.74,master
EDUC-REPORT-API,2,29,78,407,0,0.07,0.19,main
workbc-sdd-map,1,1,2,406,0,0,0,master
a2a-trust-over-ip-configurations,2,48,154,404,0,0.12,0.38,master
citz-imb-sp-batchrestapi,2,3,6,404,0,0.01,0.01,master
common-components-catalogue,2,24,29,404,0,0.06,0.07,master
foi-report-download,2,34,139,404,0,0.08,0.34,master
common-services-team-library,3,12,43,401,0.01,0.03,0.11,master
zeebe-camunda,1,1,2,401,0,0,0,master
bcgov-python-presentations,2,3,40,401,0,0.01,0.1,master
cloud-guardrails,0,1,143,400,0,0,0.36,master
CC_Biodiversity_Refugia,2,1,6,400,0,0,0.01,master
GDX-Analytics-Looker-FOI,2,8,27,400,0,0.02,0.07,master
platform-services-status,5,32,160,399,0.01,0.08,0.4,master
cas-shelf,2,23,37,394,0.01,0.06,0.09,master
citz-imb-sp-utilities,6,9,130,393,0.02,0.02,0.33,master
HADF-Overview,8,58,293,393,0.02,0.15,0.74,master
bctw-api,3,5,355,392,0.01,0.01,0.9,master
openshift-notifications,3,15,9,391,0.01,0.04,0.02,master
bctw-ui,3,7,395,391,0.01,0.02,1.01,master
gdx-covid-19-dashboard,2,16,39,390,0.01,0.04,0.1,develop
covid19,27,2,5,389,0.07,0.01,0.01,master
epr,24,13,13,387,0.06,0.03,0.03,master
EDUC-RULE-ENGINE-API,2,53,103,386,0.01,0.14,0.27,main
cascade_border_data,3,1,15,386,0.01,0,0.04,master
spa-text-service,2,2,14,385,0.01,0.01,0.04,master
common-hosted-form-service,2,160,752,385,0.01,0.42,1.95,master
EDUC-LOAD-TEST,2,8,25,384,0.01,0.02,0.07,master
InvasivesBC-iOS,6,34,138,383,0.02,0.09,0.36,master
enhanced-travel-screening,4,145,154,380,0.01,0.38,0.41,master
bctw-db,3,2,40,380,0.01,0.01,0.11,master
ts-rs-modis-snow-perc-norm,3,2,17,379,0.01,0.01,0.04,master
bcrs-charts,2,3,8,378,0.01,0.01,0.02,master
essential-services-delivery,9,95,354,378,0.02,0.25,0.94,master
vc-visual-verifier,3,9,31,374,0.01,0.02,0.08,master
dts-esr-demo,2,21,34,373,0.01,0.06,0.09,master
dts-safe-entry-demo,2,16,39,372,0.01,0.04,0.1,master
namex-synonyms-api-py-client,3,11,12,371,0.01,0.03,0.03,master
EDUC-STUDENT-PROFILE-API,2,36,149,371,0.01,0.1,0.4,master
forum-api,2,6,19,371,0.01,0.02,0.05,master
ds-intro-to-r-2-day,10,24,288,371,0.03,0.06,0.78,master
Foreign-Farm-Workers-Permitting-System,0,53,148,369,0,0.14,0.4,master
EDUC-STUDENT-PROFILE-EMAIL-API,3,23,175,369,0.01,0.06,0.47,master
test-123,2,1,1,369,0.01,0,0,master
silviculture-ipc,1,115,488,366,0,0.31,1.33,master
secure-image-app,7,8,780,366,0.02,0.02,2.13,master
EDUC-STUDENT-PROFILE,2,88,358,366,0.01,0.24,0.98,master
platform-services-registry,231,152,714,365,0.63,0.42,1.95,master
supreme-court-viewer,2,159,755,362,0.01,0.44,2.08,master
EDUC-STUDENT-PROFILE-SAGA-API,3,36,204,362,0.01,0.1,0.56,master
bowron-ssn-openstars,4,0,5,358,0.01,0,0.01,master
servicescard-selfservice,4,6,23,358,0.01,0.02,0.06,master
jag-pcss,2,32,78,356,0.01,0.09,0.22,master
indy-tails-server,10,7,48,356,0.03,0.02,0.13,master
moh-eRx,2,37,337,355,0.01,0.1,0.95,dev
jag-bcsc-auth-service,3,12,39,355,0.01,0.03,0.11,master
forms-flow-ai,0,17,237,355,0,0.05,0.67,master
supreme-court-viewer-configurations,2,11,46,353,0.01,0.03,0.13,master
sdpr-orbeon,1,2,6,352,0,0.01,0.02,master
data-publication,5,24,312,352,0.01,0.07,0.89,master
platform-ops-argo-poc,8,5,3,351,0.02,0.01,0.01,master
dormant-site-reclamation-program,2,60,1603,350,0.01,0.17,4.58,develop
CITZ-IMB-playbook,8,14,203,349,0.02,0.04,0.58,master
CITZ-IMB-Capstone2020,2,72,269,349,0.01,0.21,0.77,master
moh-fpincome,2,76,276,348,0.01,0.22,0.79,master
common-forms-toolkit,2,168,594,343,0.01,0.49,1.73,master
service-analytics-guide,2,2,5,343,0.01,0.01,0.01,master
moh-keycloak-user-management,6,60,198,337,0.02,0.18,0.59,master
sae-docs-bridge,2,10,3,336,0.01,0.03,0.01,master
nr-dell-objectstore_admin,1,2,13,335,0,0.01,0.04,master
site-status-checker,2,5,34,335,0.01,0.01,0.1,master
jag-vips-client,2,32,66,334,0.01,0.1,0.2,master
EDUC-SERVICES-CARD-SAGA-API,1,2,10,334,0,0.01,0.03,master
startup-sample-project,3,41,157,331,0.01,0.12,0.47,master
STUDENTSUCCESS-V2.0,2,8,82,330,0.01,0.02,0.25,master
Wetlands_OperationalFactors_SkeenaEastESI,1,1,48,329,0,0,0.15,master
violation-dispute-form,2,99,1021,328,0.01,0.3,3.11,master
embc-eaf,2,59,171,328,0.01,0.18,0.52,develop
s2i-caddy-nodejs,2,3,12,327,0.01,0.01,0.04,master
containerization-and-cloud-economic-model,4,12,15,324,0.01,0.04,0.05,master
semantic_infer,2,3,27,323,0.01,0.01,0.08,master
jag-rsbc-digital-forms-vips-integration,2,126,373,323,0.01,0.39,1.15,master
jag-file-submission,16,1867,7047,320,0.05,5.83,21.99,master
cas-notebooks,2,3,2,317,0.01,0.01,0.01,master
bcregistry,2,1,2,316,0.01,0,0.01,main
IRIS,14,1,1,316,0.04,0,0,master
Protected-Area-Wetland-Assessment-By-Assessment-Area,1,1,14,316,0,0,0.04,master
community-air-quality-reports,2,1,9,315,0.01,0,0.03,master
EDUC-EDNET,3,3,92,313,0.01,0.01,0.29,master
figma,13,2,17,310,0.04,0.01,0.05,master
labour-force-survey-digest,10,8,151,303,0.03,0.03,0.5,master
nr-mals,2,139,372,302,0.01,0.46,1.23,master
cloud-iac,2,3,3,300,0.01,0.01,0.01,master
mobile-signing-service,17,14,685,299,0.06,0.05,2.29,master
nr-alm-ops,1,9,21,296,0,0.03,0.07,master
namex-payment-api-py-client,3,2,3,295,0.01,0.01,0.01,dev
bcwebmaps-options,7,21,548,289,0.02,0.07,1.89,master
moh-plr-fhir,3,1,35,280,0.01,0,0.12,master
CIT,3,659,2279,278,0.01,2.37,8.18,develop
moh-hnclient-v2-PoC,3,9,49,278,0.01,0.03,0.18,master
react-shared-components,15,392,802,274,0.05,1.43,2.92,master
EDUC-PEN-REG-BATCH-API,3,154,599,273,0.01,0.56,2.19,master
spring-boot-starters,4,23,99,272,0.01,0.08,0.36,master
Digital-Support-Team-Guidelines,4,1,9,272,0.01,0,0.03,master
tutorials,0,1,19654,268,0,0,73.21,master
EDUC-PEN-MATCH-API,3,35,264,266,0.01,0.13,0.99,master
smk-tradebc,3,4,2,264,0.01,0.02,0.01,master
epi.branch.sim,8,2,91,258,0.03,0.01,0.35,main
Watershed_SkeenaESI_Monitoring,3,1,3,257,0.01,0,0.01,master
workbc-small-grants,3,16,263,254,0.01,0.06,1.03,master
bcdc-smk,3,71,223,254,0.01,0.28,0.88,dev
CE_RipDist_AddingFireInsect,1,1,33,253,0,0,0.13,master
orgbook-api,2,9,82,253,0.01,0.04,0.32,main
Technology-Code-of-Practice,0,1,26,251,0,0,0.1,master
jag-isb-splunk-chatops,3,55,123,247,0.01,0.22,0.5,main
EDUC-forms,3,2,36,246,0.01,0.01,0.15,master
business-edit-ui,2,171,452,244,0.01,0.7,1.85,main
vue-shared-components,4,152,245,244,0.02,0.62,1,master
smk-cli,43,17,242,244,0.18,0.07,0.99,master
gwa-cli,6,21,156,243,0.02,0.09,0.64,master
api-serv-gw,3,2,1,241,0.01,0.01,0,master
bcrs-shared-components,3,51,167,239,0.01,0.21,0.7,master
citz-imb-sp-projectIntakeForm,3,3,13,238,0.01,0.01,0.05,master
agri-nmp-msa,3,3,55,237,0.01,0.01,0.23,master
workbc-wage-subsidy,3,32,306,233,0.01,0.14,1.31,master
hcap,0,343,333,230,0,1.49,1.44,master
EDUC-PEN-DEMOG-MIGRATION-API,3,6,131,229,0.01,0.03,0.57,master
entity-selection-tool,3,5,267,223,0.01,0.02,1.2,master
moh-iam-kong-keycloak,0,1,10,223,0,0,0.04,master
sheriff-scheduling,3,94,1141,222,0.01,0.42,5.13,master
biohubbc,6,244,215,218,0.03,1.12,0.98,dev
biohubbc-common-codes,4,16,31,218,0.02,0.07,0.14,dev
jason-test-123,3,1,26,218,0.01,0,0.12,master
MD10A1_MSLP_LDA,3,1,28,218,0.01,0,0.13,master
bcmoh-iam-integration-guide,3,1,35,217,0.01,0,0.16,master
sheriff-scheduling-configurations,3,30,102,216,0.01,0.14,0.47,master
ensemble-app-CMIP5,1,1,10,215,0,0,0.05,master
parks-adventure-mobile,3,47,234,215,0.01,0.22,1.09,integration
invasivesbc,389,314,356,215,1.8,1.46,1.65,dev
GDX-Analytics-Looker-DES-Reporting,3,11,31,215,0.01,0.05,0.14,master
moh-iam-kong-plugin,3,1,25,212,0.01,0,0.12,master
Interactive_topic_modeling,3,3,8,209,0.01,0.01,0.04,master
GCS_update,4,2,13,205,0.02,0.01,0.06,main
vue-scaffold,5,11,82,205,0.02,0.05,0.4,master
EDUC-MSDYN-COMMON,3,1,3,205,0.01,0,0.01,master
EDUC-PEN-SERVICES-API,3,46,200,204,0.01,0.22,0.98,master
bcrs-testing,3,5,7,204,0.01,0.02,0.03,master
FNDFAS,0,2,23,203,0,0.01,0.11,master
pssg-cscp-vsu,3,60,215,197,0.02,0.3,1.09,development
EDUC-STUDENT-COURSE_API,3,52,108,196,0.02,0.26,0.55,main
gwa-api,4,22,251,196,0.02,0.11,1.28,dev
EDUC-STUDENT-ASSESSMENT-API,3,25,59,196,0.02,0.13,0.3,main
EDUC-GRAD-TOOLS,3,12,37,196,0.02,0.06,0.19,main
EDUC-PEN-REG-AUTOMATION,3,0,172,196,0.02,0,0.88,main
GDX-Analytics-Looker-Maintenance,3,9,32,196,0.02,0.05,0.16,master
EDUC-GRAD-STUDENT-API,3,78,164,190,0.02,0.41,0.86,main
EDUC-GRAD-ADMIN,3,2,426,188,0.02,0.01,2.26,master
MOH-MSP-Enrolment,3,29,271,187,0.02,0.15,1.45,main
whse_2_agol,16,2,8,187,0.09,0.01,0.04,main
EDUC-GRAD-COURSE-API,3,27,66,184,0.02,0.15,0.36,main
issuer-kit-demo-verifier-chat,6,22,80,184,0.03,0.12,0.43,main
MoH-SAT,3,369,724,183,0.02,2.01,3.94,main
ddm-documents,3,1,4,183,0.02,0.01,0.02,main
BGC3D,1,1,11,183,0.01,0.01,0.06,main
ClimateApp_FLP,1,1,3,183,0.01,0.01,0.02,main
nr-designer-erstudio,3,1,5,182,0.02,0.01,0.03,main
EDUC-GRAD-SANDBOX-REPO,3,2,18,181,0.02,0.01,0.1,main
EDUC-GRAD-ASSESSMENT-API,3,19,44,180,0.02,0.11,0.24,main
von-bc-registries-audit,1,1,1,176,0.01,0.01,0.01,master
EDUC-GRAD-PROGRAM-MANAGEMENT-API,3,45,95,175,0.02,0.26,0.54,main
EDUC-GRAD-ALGORITHM-API,3,104,196,174,0.02,0.6,1.12,main
jag-document-utils,3,63,197,173,0.02,0.36,1.14,main
EDUC-GRAD-SCHOOL-API,3,36,69,170,0.02,0.21,0.4,main
patroni-postgres-container,4,3,19,170,0.02,0.02,0.11,master
EDUC-GRAD-PSI-API,3,14,27,167,0.02,0.08,0.16,main
smk-fap-bcfls,3,13,31,167,0.02,0.08,0.19,dev
smk-fap-fcb,3,98,375,167,0.02,0.59,2.24,dev
smk-fap-stcb,3,17,29,167,0.02,0.1,0.17,dev
geoserver_build,6,2,7,166,0.04,0.01,0.04,main
EDUC-GRAD-CODE-API,3,36,82,162,0.02,0.22,0.5,main
ofi-tools,3,10,70,162,0.02,0.06,0.43,dev
court-interpreter-scheduling,3,103,118,160,0.02,0.64,0.74,dev
tracks,4,12,18,160,0.02,0.07,0.11,main
tracks-devops,4,2,27,160,0.02,0.01,0.17,main
jag-pci-gateway,3,66,76,160,0.02,0.41,0.47,main
Wetland_Summary,3,1,3,154,0.02,0.01,0.02,main
sbc-maximus-services,3,1,50,154,0.02,0.01,0.32,main
mines-digital-trust,4,43,89,154,0.03,0.28,0.58,develop
EDUC-GRAD-GRADUATION-STATUS-API,3,41,78,148,0.02,0.28,0.52,main
cmip6-BC,12,9,60,148,0.08,0.06,0.4,main
EDUC-GRAD-GRADUATION-API,3,54,107,147,0.02,0.37,0.72,main
EDUC-GRAD-COMMON-API,3,43,77,147,0.02,0.29,0.52,main
moh-bcer,3,12,54,146,0.02,0.08,0.37,main
EDUC-SCHOOL-API,3,5,26,145,0.02,0.03,0.18,master
SSAF_FFH_Summary,1,1,48,145,0.01,0.01,0.33,main
safepaths,5,1,20,142,0.04,0.01,0.14,main
pssg-cscp-cpu,3,23,57,140,0.02,0.16,0.41,development
crt,4,347,8,140,0.03,2.47,0.06,master
EDUC-SLD-API,3,14,43,140,0.02,0.1,0.31,main
EDUC-PEN-TRAX-API,3,2,13,139,0.02,0.01,0.09,master
jag-lrb-web,3,33,116,138,0.02,0.24,0.84,main
NotifyBC,11,16,1070,136,0.08,0.12,7.86,main
SIMS,253,106,142,135,1.87,0.78,1.05,main
moh-maid,3,122,545,132,0.02,0.92,4.12,main
cas-airflow-upstream,0,4,11303,128,0,0.03,88.03,master
climate-disturbances,0,8,65,127,0,0.06,0.51,main
nr-fom-admin,2,10,63,125,0.02,0.08,0.5,master
aps-portal,2,12,540,125,0.02,0.1,4.3,dev
nr-fom-public,2,12,77,125,0.02,0.1,0.61,master
nr-fom-api,2,47,206,125,0.02,0.37,1.64,master
MOH-AOP-OOP,2,126,526,124,0.02,1.01,4.23,main
bc-data-literacy-self-assessment,0,1,124,124,0,0.01,1,master
streamflow-indicator,2,1,8,121,0.02,0.01,0.07,main
ccsummary-tahltan,2,1,2,112,0.02,0.01,0.02,main
MOH-BCP-Enrolment,2,12,61,106,0.02,0.11,0.57,main
moh-hnclient-v2,2,11,42,105,0.02,0.1,0.4,main
moh-hni-esb,2,6,38,105,0.02,0.06,0.36,main
ccsummary-FLP,2,1,9,105,0.02,0.01,0.09,main
jag-traffic-courts-online,2,109,535,104,0.02,1.04,5.12,main
jag-trafficcourts-partner,2,2,1,104,0.02,0.02,0.01,main
jag-trafficcourts-api,2,2,1,104,0.02,0.02,0.01,main
rocketchat,2,2,128,104,0.02,0.02,1.23,master
moh-external-api-protocol-mapper,2,1,15,101,0.02,0.01,0.15,main
performance,183,2,32,99,1.84,0.02,0.32,master
citz-imb-sp-aar,2,1,1,99,0.02,0.01,0.01,main
PSP,2,1,7,99,0.02,0.01,0.07,master
MOH-FPC-Enrolment,2,39,181,99,0.02,0.39,1.82,main
startup-sample-project-terraform-modules,2,1,12,98,0.02,0.01,0.12,master
Wetzinkwa,2,1,5,97,0.02,0.01,0.05,main
aries-vcr-client,3,7,37,97,0.03,0.07,0.38,main
Mautic-Subscription-App,2,19,447,96,0.02,0.2,4.64,main
