Repository,IssueTotalCount,DaysOpen,AverageIssueCountPerDay
GDX-Analytics-Looker-cfms_block,2,1072,0
moh-fpcare,0,1071,0
intro-to-tidyhydat-and-tidyverse,6,1071,0.01
field-inspection-app-ios,10,1068,0.01
field-inspection-app-android,2,1068,0
prime-session,2,1064,0
nbcclim,4,1064,0
gwa-ip-anonymity,6,1057,0.01
gwa-ui,5,1056,0
gwa-kong-endpoint,5,1056,0
dbc-pylib,2,1055,0
argg-api,9,1055,0.01
argg-ui,14,1055,0.01
ols-router,268,1054,0.25
mwslds,2,1050,0
GDX-Analytics-Looker-Redshift_Admin_By_AWS,2,1050,0
devhub-signing-agent,7,1048,0.01
devhub-signing-api,3,1048,0
devhub-signing-web,9,1048,0.01
prime-oauth,2,1044,0
sp2s3,3,1035,0
kirk,3,1029,0
von-bc-registries-agent,75,1025,0.07
geometr,7,1023,0.01
SecNewsFeedReader,1,1022,0
env-moosetracker-android,2,1021,0
env-moosetracker-ios,5,1021,0
servicebc,2,1021,0
common-nodejs-utils,10,1020,0.01
gcpe-azure-sample,2,1020,0
representation-grant,2,1003,0
pssg-cscp-vsd,2,1003,0
BCwebcheck,1,998,0
SecNewsFeedReader-Drupal,2,998,0
moh-oauth,2,995,0
smk,62,988,0.06
snow-dur-analysis,3,986,0
bcgov-sso-theme,1,981,0
smk-bcparks,6,980,0.01
smk-moh,2,979,0
RasterLandCover,2,978,0
gcpe-NRMS-frontend,2,978,0
gcpe-NRMS-api,2,978,0
jag-scheduling-hub,2,967,0
kq-ui,25,965,0.03
kq-api,2,965,0
sbc-mcap,2,958,0
scj-online-booking-system,3,953,0
ldf_drf_db_comments,2,953,0
range-api,65,951,0.07
devhub-app-web,683,951,0.72
OCWA,146,950,0.15
common-ui-components,1,942,0
repomountie,54,932,0.06
common-web-utils,19,931,0.02
spa-env-server,2,925,0
design-system,156,923,0.17
bcgov-useR,4,922,0
bowron-ssn,2,917,0
scheduler,0,916,0
jag-pill-press-registry,2,914,0
gcpe-news-dashboard,2,910,0
VON-ESB-DRS-Agent,6,905,0.01
smk-common-iac,2,900,0
aquifer-factsheets,3,896,0
von-agent-template,9,894,0.01
bcgov-rstats-public-presentations,4,891,0
ckanext-bcgov-disqus,0,888,0
ckanext-bcgov-cli,2,888,0
HunterDensity,2,887,0
HumanLivestockDensity,2,886,0
gcpe-hub-api,2,886,0
entity,7131,886,8.04
WEStblr,3,881,0
replication_health_check,1,877,0
EDUC-ECAS,7,873,0.01
bcgov-Shiny-deployment-paths,1,868,0
wqo_shuswap,2,867,0
hydrometric_stations,15,862,0.02
isb-rsi-courtsintegration,2,862,0
moh-common-styles,14,861,0.02
SCJ-Online-Booking,2,859,0
aries-vcr,296,857,0.35
bcdata,136,856,0.16
mdms-nodejs-client,14,854,0.02
CHSP_dataviewer,4,854,0
EDUC-NGN,5,852,0.01
eagle-public,4,852,0
eagle-admin,5,852,0.01
eagle-api,3,852,0
gcpe-hub,2,846,0
Caribou_disturb_TT,3,839,0
Caribou_Disturb_B,1,838,0
mdms-device-signout-api,2,835,0
mdms-device-signout-app,2,835,0
reggie,20,834,0.02
GB_Unreported,2,832,0
reggie-web,19,831,0.02
GB_Data,2,831,0
grizzly-bear-status-indicator,5,827,0.01
