Repository,Days Open,Issue Count,PR Count,Commit Count,Branch Protection Rule Count,Avg. Issue Count Per Day,Avg. PR Count Per Day,Avg. Commit Count Per Day,Default Branch Name,Languages
devhub-app-web,958,685,889,2602,1,0.71,0.93,2.72,master,JavaScript_Shell_CSS_HTML_Dockerfile
OCWA,957,146,173,1859,1,0.15,0.18,1.94,master,JavaScript_Groovy_Python_Shell_HCL_Gherkin_CSS_HTML_Smarty_Dockerfile_TypeScript_Rust_Pug_SCSS
common-ui-components,950,1,4,14,0,0,0,0.01,master,JavaScript_CSS
repomountie,939,55,77,539,0,0.06,0.08,0.57,master,TypeScript_JavaScript_Shell
common-web-utils,939,19,34,73,0,0.02,0.04,0.08,master,JavaScript
spa-env-server,932,2,6,40,0,0,0.01,0.04,master,JavaScript
design-system,931,156,110,1150,0,0.17,0.12,1.23,master,HTML_CSS
bcgov-useR,930,4,8,42,0,0,0.01,0.05,master,R
bowron-ssn,925,2,2,25,0,0,0,0.03,master,R
scheduler,923,0,1,78,0,0,0,0.08,master,JavaScript
jag-pill-press-registry,922,2,292,750,0,0,0.32,0.81,master,C#_HTML_TypeScript_CSS_Shell_JavaScript_Batchfile
gcpe-news-dashboard,918,2,397,424,1,0,0.43,0.46,develop,TypeScript_HTML_SCSS_Shell_JavaScript_Dockerfile
VON-ESB-DRS-Agent,912,6,23,69,0,0.01,0.03,0.08,master,HTML_Shell_Python_Groovy_CSS_JavaScript_Dockerfile
smk-common-iac,908,2,2,15,0,0,0,0.02,master,Dockerfile
aquifer-factsheets,904,3,2,99,0,0,0,0.11,master,R
von-agent-template,901,9,55,207,0,0.01,0.06,0.23,master,HTML_Python_Shell_CSS_JavaScript_Dockerfile
bcgov-rstats-public-presentations,898,4,10,114,0,0,0.01,0.13,master,R
ckanext-bcgov-disqus,896,0,2,4,1,0,0,0,dev,JavaScript_Python_HTML_CSS
ckanext-bcgov-cli,896,2,3,6,1,0,0,0.01,dev,Python
HunterDensity,895,2,1,16,0,0,0,0.02,master,R
HumanLivestockDensity,894,2,1,7,0,0,0,0.01,master,R
gcpe-hub-api,894,2,185,266,1,0,0.21,0.3,develop,C#_Shell
entity,893,7227,129,1333,0,8.08,0.14,1.49,master,JavaScript_Groovy_TypeScript_Vue_SCSS_HTML_Shell
WEStblr,888,3,1,24,0,0,0,0.03,master,R
replication_health_check,884,1,16,42,0,0,0.02,0.05,master,Python
EDUC-ECAS,880,7,69,648,0,0.01,0.08,0.74,master,PowerShell_C#_PHP_Vue_Blade_JavaScript_Shell_XSLT
bcgov-Shiny-deployment-paths,876,1,2,12,0,0,0,0.01,master,
wqo_shuswap,875,2,2,87,0,0,0,0.1,master,R
hydrometric_stations,870,15,2,53,0,0.02,0,0.06,master,R
isb-rsi-courtsintegration,869,2,1,1,0,0,0,0,master,
moh-common-styles,869,14,151,1050,0,0.02,0.17,1.21,master,TypeScript_HTML_SCSS_JavaScript_CSS
SCJ-Online-Booking,866,2,17,389,0,0,0.02,0.45,master,C#_HTML_JavaScript_SCSS_Vue_Batchfile_Shell
aries-vcr,864,296,352,1582,1,0.34,0.41,1.83,master,Python_TypeScript_HTML_Shell_SCSS_JavaScript_Dockerfile
bcdata,863,139,134,1035,0,0.16,0.16,1.2,master,R
mdms-nodejs-client,862,14,4,14,0,0.02,0,0.02,master,JavaScript
CHSP_dataviewer,861,4,2,7,0,0,0,0.01,master,
EDUC-NGN,860,5,1,57,0,0.01,0,0.07,master,C#_PowerShell_JavaScript_HTML_Batchfile_Roff
eagle-public,859,5,544,1857,4,0.01,0.63,2.16,develop,TypeScript_HTML_SCSS_Groovy_Shell_JavaScript_Dockerfile_CSS_Less
eagle-admin,859,5,717,2211,3,0.01,0.83,2.57,develop,TypeScript_HTML_CSS_SCSS_Groovy_JavaScript_Dockerfile_Shell_Less
eagle-api,859,3,656,1458,4,0,0.76,1.7,develop,JavaScript_Groovy_Shell_Dockerfile
gcpe-hub,853,2,56,127,2,0,0.07,0.15,develop,CSS_Less_C#_JavaScript_ASP.NET_TypeScript_TSQL_HTML_PowerShell
Caribou_disturb_TT,847,3,2,16,0,0,0,0.02,master,R
Caribou_Disturb_B,846,1,2,20,0,0,0,0.02,master,R
mdms-device-signout-api,842,2,2,10,0,0,0,0.01,master,JavaScript_Dockerfile_Shell
mdms-device-signout-app,842,2,2,17,0,0,0,0.02,master,JavaScript_Dockerfile
reggie,841,20,35,39,0,0.02,0.04,0.05,master,JavaScript_CSS_HTML_Shell_Dockerfile
GB_Unreported,839,2,1,16,0,0,0,0.02,master,R
reggie-web,839,19,36,37,0,0.02,0.04,0.04,master,JavaScript_CSS_HTML_Shell_Dockerfile
GB_Data,838,2,1,13,0,0,0,0.02,master,R
grizzly-bear-status-indicator,834,5,15,668,0,0.01,0.02,0.8,master,R
devhub-resources,833,20,30,118,0,0.02,0.04,0.14,master,
GB_Mortality,828,2,1,19,0,0,0,0.02,master,R
teis-utilities,828,3,2,11,0,0,0,0.01,master,
postman-bdd,828,0,1,184,0,0,0,0.22,master,HTML_JavaScript_TypeScript
wetlandmapR,827,20,12,26,0,0.02,0.01,0.03,master,R
chimp,826,2,5,11,0,0,0.01,0.01,master,Java_C++_Python_C
FAIB,826,2,3,91,0,0,0,0.11,master,HTML_Python_R_CSS_Batchfile
ckan-bcgov-terraform,824,2,2,6,1,0,0,0.01,dev,HCL
docker-clamav,824,0,2,53,0,0,0,0.06,master,Dockerfile_Shell
foi-requests,824,7,82,554,0,0.01,0.1,0.67,master,TypeScript_HTML_JavaScript_SCSS_Shell_Dockerfile_HCL
pdfmagic,820,1,7,61,0,0,0.01,0.07,master,Python_Dockerfile_HTML_Shell
ts-rs-modis-snow,820,3,2,21,0,0,0,0.03,master,R
lear,819,18,1139,1271,1,0.02,1.39,1.55,master,HTML_Python_Shell_Makefile_Jupyter Notebook_Groovy_Dockerfile_Mako
sbc-pay,819,8,670,1450,2,0.01,0.82,1.77,development,HTML_Python_Groovy_Makefile_Dockerfile_Shell_Jupyter Notebook_Vue_TypeScript_JavaScript_Mako
sbc-auth,819,5,1565,2401,2,0.01,1.91,2.93,development,Python_Vue_TypeScript_HTML_Groovy_Makefile_Shell_SCSS_Jupyter Notebook_Dockerfile_JavaScript_CSS_Mako
invasive-species-system-build,819,3,2,3,0,0,0,0,master,
digital-gov,817,30,12,54,1,0.04,0.01,0.07,master,JavaScript_Groovy_CSS_Shell_Dockerfile
GB_DNA,812,2,1,2,0,0,0,0,master,R
GB_Salmon,810,1,1,2,0,0,0,0,master,R
data-stream,810,3,21,75,0,0,0.03,0.09,develop,Python_JavaScript_HTML_Smarty_CSS_Dockerfile
popApp,807,5,1,68,0,0.01,0,0.08,master,R
air-zone-reports,805,5,5,122,0,0.01,0.01,0.15,master,R_TeX
bcgov-looker-snowplow,798,1,1,26,0,0,0,0.03,master,PHP_JavaScript
eao-inspections-evidence-locker,797,2,71,159,0,0,0.09,0.2,master,Python_TypeScript_HTML_Shell_SCSS_JavaScript_Dockerfile_CSS_Makefile
nr-messaging-service-showcase,797,3,111,292,1,0,0.14,0.37,master,JavaScript_Groovy_CSS_HTML_Shell
nr-document-management-showcase,797,2,11,37,0,0,0.01,0.05,master,
document-generation-showcase,797,2,62,263,1,0,0.08,0.33,master,HTML_Vue_JavaScript_Groovy_Shell
FADM_Edit_Workflows,796,2,1,51,0,0,0,0.06,master,Python_HTML_CSS
GDX-Analytics-Looker-Google-Block,793,2,34,89,1,0,0.04,0.11,master,LookML
GDX-Analytics-OpenShift-Snowplow-Gateway-Service,793,3,41,122,1,0,0.05,0.15,master,Python_JavaScript_Groovy_Shell_Dockerfile
embc-ess,792,2,1123,3351,2,0,1.42,4.23,r1develop,C#_HTML_TypeScript_Handlebars_SCSS_Groovy_Shell_Dockerfile_TSQL_JavaScript_Batchfile
statscan-taxdata-tidying,792,14,10,214,0,0.02,0.01,0.27,master,R
TransAction,791,3,128,243,0,0,0.16,0.31,master,JavaScript_C#_TSQL_Groovy_SCSS_HTML_Shell_Dockerfile_Batchfile
Project-and-time-tracker,791,4,67,1003,0,0.01,0.08,1.27,master,Vue_TypeScript_JavaScript_Stylus_HTML_CSS_Dockerfile_Shell
moh-sitereg,790,2,222,967,0,0,0.28,1.22,master,TypeScript_HTML_SCSS_JavaScript_Dockerfile_Shell
landuseplanning-admin,785,3,46,1627,0,0,0.06,2.07,dev,TypeScript_HTML_CSS_SCSS_JavaScript_Shell_Dockerfile
landuseplanning-public,785,3,57,1403,0,0,0.07,1.79,dev,TypeScript_HTML_SCSS_JavaScript_Dockerfile_Shell
landuseplanning-api,785,2,29,845,0,0,0.04,1.08,dev,JavaScript_Shell_Dockerfile
CaribouBC,784,7,6,186,0,0.01,0.01,0.24,master,R_JavaScript
imit-procurement-data-analysis,784,3,2,46,0,0,0,0.06,master,R
ckanext-sso,784,3,2,13,1,0,0,0.02,dev,Python
ckan-ui,783,311,162,655,2,0.4,0.21,0.84,dev,Vue_JavaScript_HTML_Dockerfile
smk-francophone,777,3,27,68,1,0,0.03,0.09,qa,CSS_HTML_JavaScript
csv-to-api,776,0,3,47,0,0,0,0.06,master,PHP
shinyrems,776,116,7,473,0,0.15,0.01,0.61,master,R
lngcanada-admin,775,3,2,864,0,0,0,1.11,master,TypeScript_CSS_HTML_JavaScript_Shell_Dockerfile
lngcanada-api,775,2,5,401,0,0,0.01,0.52,master,JavaScript
lngcanada-public,775,3,42,1132,0,0,0.05,1.46,master,TypeScript_CSS_HTML_JavaScript_Shell_Dockerfile
GDX-Analytics-Looker-theq_sdpr_block,769,2,23,57,1,0,0.03,0.07,master,LookML
jag-spd-spice,768,3,202,458,0,0,0.26,0.6,master,C#_TypeScript_HTML_Shell_CSS_JavaScript_Dockerfile_Batchfile
iamp-maven-resources,766,2,2,12,0,0,0,0.02,master,
bcgov-data-science-cop,762,5,8,149,0,0.01,0.01,0.2,master,R
range-dashboard-ios,762,1,3,29,0,0,0,0.04,master,Swift_Shell_Ruby
nr-get-token,761,73,199,1050,1,0.1,0.26,1.38,master,JavaScript_Vue_Groovy_SCSS_HTML_Dockerfile_Shell
SharePoint_Solutions,757,0,1,11,0,0,0,0.01,master,JavaScript_CSS
bc-econ-status-indices,756,4,2,126,0,0.01,0,0.17,master,R
CITZ-IMB-SharePoint,756,18,56,140,2,0.02,0.07,0.19,master,JavaScript_HTML_CSS
realm-o-matic,756,44,45,45,0,0.06,0.06,0.06,master,JavaScript_Less_Pug_CSS_HTML_Dockerfile
jag-rsbc-carma,751,2,10,52,0,0,0.01,0.07,master,JavaScript_Shell
site-inspections-app-ios,751,1,0,0,0,0,0,0,,
cas-ggircs,749,0,243,1438,2,0,0.32,1.92,develop,PLpgSQL_TypeScript_JavaScript_Python_Makefile_Shell_Dockerfile_CSS_Mustache_Smarty_Perl
indy-email-verification,747,11,57,251,1,0.01,0.08,0.34,master,HTML_Python_Shell_JavaScript_CSS_Dockerfile
agri-dcbr,744,3,102,459,1,0,0.14,0.62,master,Python_Vue_HTML_TypeScript_Shell_JavaScript_Dockerfile
cas-docker-sqitch,744,0,1,4,0,0,0,0.01,master,Dockerfile
lucy-web,742,510,484,2300,5,0.69,0.65,3.1,dev,TypeScript_HTML_JavaScript_CSS_Makefile_Dockerfile_SCSS_Shell
iiwbook,740,7,68,221,0,0.01,0.09,0.3,master,HTML_Python_Shell_CSS_JavaScript_Dockerfile
mobile-starter-kit,735,11,3,24,0,0.01,0,0.03,master,
Agile-Delivery-Process,734,7,3,47,0,0.01,0,0.06,master,
flatfile-tools,733,3,2,287,0,0,0,0.39,master,Python_C++_C_Shell_R_Rebol_Batchfile
cas-metabase,733,2,20,69,2,0,0.03,0.09,develop,Shell_Mustache_Smarty_Dockerfile_Makefile
GDX-Analytics-Drupal-Snowplow,728,2,7,42,1,0,0.01,0.06,master,PHP_JavaScript
healthgateway,723,3,2244,5786,2,0,3.1,8,dev,C#_Vue_TypeScript_JavaScript_HTML_SCSS_Shell_Dockerfile_Python_Batchfile
aqadvisories-eservice,722,2,6,274,0,0,0.01,0.38,master,JavaScript_HTML_CSS_Shell
sbc-common-components,722,4,210,338,1,0.01,0.29,0.47,master,Vue_TypeScript_Python_Makefile_JavaScript_SCSS_HTML_Shell
bcdc-test,716,2,48,555,1,0,0.07,0.78,dev,Python
pssg-cornet-dynamics,714,0,2,1,0,0,0,0,master,
goshawk-ios,712,2,1,17,0,0,0,0.02,master,Swift_HTML
sae-workbench,707,16,24,6,0,0.02,0.03,0.01,master,JavaScript_TypeScript_CSS_Shell_HTML_Dockerfile_Smarty
Skeena_WB,707,2,1,1,0,0,0,0,master,
cas-ggircs-metabase,707,0,6,18430,0,0,0.01,26.06,bcgov,Clojure_JavaScript_HTML_CSS_Shell_Objective-C_Perl_Dockerfile_Emacs Lisp_Rich Text Format_Ruby
cas-ggircs-metabase-builder,707,1,22,27,0,0,0.03,0.04,master,Dockerfile_Makefile_Shell
EDUC-UMU,706,10,43,1109,0,0.01,0.06,1.57,master,JavaScript_Vue_Groovy_Dockerfile_HTML_CSS
bc_snow_ops,705,0,1,330,0,0,0,0.47,master,R
ExchangeLabOps,704,8,60,371,0,0.01,0.09,0.53,master,SCSS_HTML_Ruby_JavaScript
pssg-cornet-dynamics-config,702,2,1,1,0,0,0,0,master,
pssg-cornet-dynamics-queue-proc,702,2,1,3,0,0,0,0,master,C#
EDUC-CAPS,701,3,2,459,0,0,0,0.65,master,C#_JavaScript_HTML_CSS
sk_tda,700,3,2,8,0,0,0,0.01,master,R
eForWasteBC,698,1,3,12,0,0,0,0.02,master,Objective-C_HTML_Shell
rems2aquachem,695,0,1,68,0,0,0,0.1,master,JavaScript_R_CSS_HTML
api-guidelines,694,18,7,44,0,0.03,0.01,0.06,master,
ckanext-edc-rss,693,2,1,7,0,0,0,0.01,master,Python_HTML
recycling-indicator,693,2,4,182,0,0,0.01,0.26,master,R
iamp-email-service,692,2,14,56,3,0,0.02,0.08,master,Java
iamp-mq-component,692,2,5,12,2,0,0.01,0.02,develop,Java
gis-pantry,692,22,101,279,0,0.03,0.15,0.4,master,Jupyter Notebook_Python_Shell_Batchfile
EDUC-DIGITALID-API,691,2,101,446,0,0,0.15,0.65,master,Java_Shell_Dockerfile
envair,688,6,2,83,0,0.01,0,0.12,master,R
bcca-payment-hub,686,3,31,37,0,0,0.05,0.05,master,Python_HTML_TypeScript_Shell_Groovy_CSS_JavaScript_Dockerfile
von-oil-gas-poc,684,2,15,52,0,0,0.02,0.08,master,Python_Shell_CSS_JavaScript_Dockerfile
eagle-helper-pods,681,2,86,159,1,0,0.13,0.23,master,Groovy_Shell_JavaScript_Dockerfile
nr-email-microservice,681,2,17,55,1,0,0.02,0.08,master,JavaScript
pssg-cornet-dynamics-end2end-service,680,1,11,20,0,0,0.02,0.03,master,Java_HTML_CSS_JavaScript
digital-lakes,679,2,1,1,0,0,0,0,master,
nmp-arm,678,3,53,150,0,0,0.08,0.22,release,Python_JavaScript_HTML_CSS_Shell_Dockerfile
pssg-cornet-dynamics-queue-proc-rabbitmq,676,2,22,3,0,0,0.03,0,master,
aries-vcr-issuer-controller,673,9,54,209,1,0.01,0.08,0.31,master,Python_Shell_CSS_Makefile_Dockerfile_JavaScript
EDUC-CURRICWS,673,3,5,284,0,0,0.01,0.42,master,JavaScript_Dockerfile_Shell
skeena-ogma-amendments-assessment,672,1,1,17,0,0,0,0.03,master,Python
cas-shipit,671,3,133,155,1,0,0.2,0.23,master,Ruby_HTML_Smarty_JavaScript_Dockerfile_Makefile_CSS
forestry-quarterly-report,671,1,1,14,0,0,0,0.02,master,Python
jrcc-document-access-libs,670,15,172,540,3,0.02,0.26,0.81,master,Java_Shell
jag-isb-devorg,670,2,6,12,0,0,0.01,0.02,master,C#_HTML_CSS_Shell_JavaScript
ranktrends,670,7,6,98,0,0.01,0.01,0.15,master,R
pssg-cordyn-management-console,666,2,1,1,0,0,0,0,master,
pssg-cordyn-rabbitmq-interface-controller,666,2,18,11,0,0,0.03,0.02,master,
AGOL_getMapFromApp,666,1,2,3,0,0,0,0,master,Jupyter Notebook
AGOL_getSizeFromGroup,666,1,2,6,0,0,0,0.01,master,Jupyter Notebook
FAIBOracle,665,2,1,60,0,0,0,0.09,master,R
forestDroughtTool,665,2,3,60,0,0,0,0.09,master,R
FAIBCompiler,665,2,1,76,0,0,0,0.11,master,R
FAIBBase,665,2,2,56,0,0,0,0.08,master,R
eagle-dev-guides,664,2,52,93,1,0,0.08,0.14,master,Shell_PowerShell_JavaScript
cloud-adoption-patterns,664,3,4,8,0,0,0.01,0.01,master,
cas-postgres,664,4,87,300,2,0.01,0.13,0.45,develop,Shell_Makefile_Mustache_Dockerfile
GDX-Analytics-Looker-Google-MyBusiness,659,2,14,33,1,0,0.02,0.05,master,LookML
eagle-reports,652,2,18,37,1,0,0.03,0.06,master,
EDUC-ISFS,652,3,1,26,0,0,0,0.04,master,JavaScript_C#_HTML
EDUC-STUDENTSUCCESS,652,3,7,35,0,0,0.01,0.05,master,PHP_Blade_JavaScript
vc-authn-oidc,651,44,82,308,1,0.07,0.13,0.47,master,C#_Shell_HTML_Dockerfile
iamp-apps-configs,650,2,5,8,4,0,0.01,0.01,master,
bcparis-service,650,2,209,845,1,0,0.32,1.3,master,Java
nr-showcase-devops-tools,649,3,16,50,1,0,0.02,0.08,master,Groovy_Dockerfile
nr-showcase-devops-tools-demo-sq,649,2,6,12,1,0,0.01,0.02,master,Groovy_JavaScript
gatsby-source-matomo,649,3,15,35,0,0,0.02,0.05,master,JavaScript
jrcc-sample-app,646,2,6,3,0,0,0.01,0,master,Java
rocketgate,646,5,9,38,0,0.01,0.01,0.06,master,JavaScript_Shell
gatsby-source-github-raw,643,2,14,54,0,0,0.02,0.08,master,JavaScript
native-species-rank-indicator,642,2,4,216,0,0,0.01,0.34,master,R
orgbook-configurations,642,19,81,244,1,0.03,0.13,0.38,master,Shell_Groovy
cas-ggircs-ciip-2018-schema,639,4,37,41,2,0.01,0.06,0.06,develop,PLpgSQL_Makefile_Shell_Perl
cas-ciip-portal,639,7,1634,5322,2,0.01,2.56,8.33,develop,PLpgSQL_TypeScript_JavaScript_Gherkin_Shell_Makefile_Dockerfile_HTML_Mustache_Smarty_CSS_Perl
fwben,638,138,16,12,0,0.22,0.03,0.02,master,Python_HTML_Vue_TypeScript_Shell_Groovy_JavaScript_Makefile_Stylus_Dockerfile_Mako
drake-example,637,6,5,48,0,0.01,0.01,0.08,main,R
cas-pipeline,636,6,43,179,1,0.01,0.07,0.28,master,Shell_Makefile_Smarty
cas-metascript,636,2,3,199,1,0,0,0.31,master,JavaScript
bc-sans,635,4,3,22,0,0.01,0,0.03,master,CSS
ols-geocoder,635,203,37,133,1,0.32,0.06,0.21,dev,Java_CSS
forageConversionTool,631,6,3,12,0,0.01,0,0.02,master,Python
cas-ggircs-metabase-build,630,3,22,41,2,0,0.03,0.07,develop,Makefile_Dockerfile
aries-cloudagent-container,628,4,25,60,1,0.01,0.04,0.1,master,Python_Dockerfile_JavaScript_Shell
new2Q-reports,625,20,3,35,0,0.03,0,0.06,master,Python_Makefile_Batchfile_Shell_QML
census_geography_bc,623,3,2,19,0,0,0,0.03,master,R
ols-util,623,3,13,30,1,0,0.02,0.05,dev,Java
GDX-Analytics-Looker-Google-MyBusiness-ServiceBC,623,2,20,56,1,0,0.03,0.09,master,LookML
cas-ggircs-ciip-2018-extract,621,4,36,106,2,0.01,0.06,0.17,develop,Python_Smarty_Dockerfile_Makefile_Shell
common-hosted-email-service,620,2,89,445,1,0,0.14,0.72,master,JavaScript_Groovy
bcparis-apps-configs,618,2,18,48,4,0,0.03,0.08,dev,
bcws-psu-research,618,118,1,1369,0,0.19,0,2.21,master,Shell_C++_Python_C_R_Makefile
eagle-common-components,618,2,1,3,1,0,0,0,master,
searchgate,617,6,16,77,0,0.01,0.03,0.12,master,JavaScript_Shell
ocwa-file-scanner,616,2,1,14,1,0,0,0.02,master,JavaScript_Shell_Dockerfile
EDUC-CURRI,615,2,2,28,0,0,0,0.05,master,CSS_JavaScript_PHP_HTML
url-filter-proxy,610,2,1,14,1,0,0,0.02,master,Shell_Dockerfile
gitlab-keycloak-group-sync,610,2,1,50,1,0,0,0.08,master,JavaScript_Shell_Dockerfile
asdm-postgres,610,2,2,57,1,0,0,0.09,master,Python_Smarty_HCL_Shell_Dockerfile
git-sae-ops,610,2,3,1,1,0,0,0,master,
digital-marketplace,609,2,1,7,0,0,0,0.01,master,
von-bc-registries-agent-configurations,608,5,49,152,1,0.01,0.08,0.25,master,Shell_Groovy
GDX-Analytics-Looker-CleanBC,600,2,7,19,1,0,0.01,0.03,master,LookML
law-society-demo,597,6,32,87,1,0.01,0.05,0.15,master,TypeScript_Vue_HTML_Shell_JavaScript_Dockerfile_SCSS
Skeena_ESI_Wetlands,597,2,1,2,0,0,0,0,master,R
cap-eagle-admin,596,2,15,1489,0,0,0.03,2.5,develop,TypeScript_HTML_CSS_JavaScript_Shell_Dockerfile
cap-eagle-public,596,2,17,1174,0,0,0.03,1.97,develop,TypeScript_HTML_CSS_JavaScript_Shell_Dockerfile
cap-eagle-dev-guides,596,2,11,93,0,0,0.02,0.16,master,Shell_PowerShell_JavaScript
cap-eagle-api,596,2,38,896,0,0,0.06,1.5,develop,JavaScript_Shell
ckanext-bcgov-schema,596,2,31,90,0,0,0.05,0.15,master,JavaScript_HTML_Python_CSS
cap-eagle-helper-pods,596,2,41,116,0,0,0.07,0.19,master,Groovy_Shell_HCL_Dockerfile
EDUC-PASS,595,2,1,10,0,0,0,0.02,master,CSS_Java
ds-cop-intro-to-r,594,5,13,162,0,0.01,0.02,0.27,master,R
moh-prime,589,4,1235,1709,3,0.01,2.1,2.9,develop,C#_TypeScript_HTML_SCSS_Python_Dockerfile_Shell_JavaScript_Batchfile_Mako
docugate,582,2,12,28,0,0,0.02,0.05,master,JavaScript_Shell
aries-cloudcontroller-node,581,7,14,59,1,0.01,0.02,0.1,master,TypeScript_Shell
fams3,580,2,525,2214,2,0,0.9,3.82,master,C#_Dockerfile_Shell
bcgov-r-geo-workshop,579,28,7,211,0,0.05,0.01,0.36,master,R
ExitSurveyAdmin,579,151,7,412,0,0.26,0.01,0.71,master,C#_TypeScript_JavaScript_SCSS_HTML_Shell_CSS
ppr-deprecated,576,576,351,463,1,1,0.61,0.8,master,TypeScript_Python_Vue_Groovy_Shell_CSS_JavaScript_Dockerfile_HTML_Mako
mhr,576,1,0,0,0,0,0,0,,
pssg-psd-css,574,2,57,146,0,0,0.1,0.25,master,C#_TypeScript_HTML_Shell_SCSS_JavaScript_Batchfile
moh-bcp,573,2,220,988,0,0,0.38,1.72,master,TypeScript_HTML_SCSS_JavaScript_Shell_Dockerfile
moh-address-validation,573,2,6,24,0,0,0.01,0.04,master,JavaScript
jag-cullencommission,569,1,1260,2831,0,0,2.21,4.97,master,PHP_HTML_SCSS_Dockerfile_Groovy_Hack_Shell
Biodiversity_CC,567,2,1,3,0,0,0,0.01,master,R
telemetry,566,3,3,58,0,0.01,0.01,0.1,master,R
EDUC-KEYCLOAK-SOAM,565,2,267,760,0,0,0.47,1.34,master,Shell_Java_TypeScript_JavaScript_Groovy_FreeMarker_CSS_Dockerfile
popProjApp,565,2,2,17,0,0,0,0.03,master,R
hsdProj,565,3,1,12,0,0.01,0,0.02,master,R
GCS,565,3,1,25,0,0.01,0,0.04,master,R
Forester-Job-Placement,561,17,42,493,0,0.03,0.07,0.88,master,TypeScript_HTML_JavaScript_Python_Shell_SCSS_Dockerfile
embc-ess-mod,559,2,330,1634,1,0,0.59,2.92,master,C#_TypeScript_HTML_SCSS_JavaScript_Dockerfile_PowerShell
NRPTI,559,3,837,1115,1,0.01,1.5,1.99,master,TypeScript_JavaScript_HTML_SCSS_Groovy_Dockerfile_Shell
dpdd-snippets,558,4,5,65,0,0.01,0.01,0.12,master,R
design-system-web-components,554,3,9,120,0,0.01,0.02,0.22,master,TypeScript_SCSS_JavaScript_HTML
pipeline-bot,552,2,87,377,0,0,0.16,0.68,master,CoffeeScript_Shell_Dockerfile_Batchfile
cass-api,551,1,13,517,0,0,0.02,0.94,master,TypeScript_Shell_HTML_TSQL_Batchfile_Groovy_JavaScript_Dockerfile
cass-frontend,551,1,22,1075,0,0,0.04,1.95,master,TypeScript_JavaScript_CSS_Groovy_Shell_HTML_Dockerfile
bc-fwa-river-profiles,550,10,3,25,0,0.02,0.01,0.05,master,R
GDX-Analytics-Looker-SBC-Call-Centre,548,2,8,26,1,0,0.01,0.05,master,LookML
invasivesBC-mussels-iOS,547,7,170,554,0,0.01,0.31,1.01,master,Swift_Shell_Objective-C_Ruby
eagle-mobile-inspections,546,2,29,70,0,0,0.05,0.13,develop,JavaScript_Objective-C_Java_Starlark
keycloak-group-extension,545,2,1,22,0,0,0,0.04,master,Java_FreeMarker
shinywqg,545,72,10,370,0,0.13,0.02,0.68,master,R_CSS_HTML
nr-metabase-showcase,544,2,2,9,0,0,0,0.02,master,Java_HTML_CSS
tukey,540,2,4,7,0,0,0.01,0.01,master,CSS_FreeMarker
CANSIM-retail-trade-shiny,540,4,2,41,0,0.01,0,0.08,master,R
issuer-kit,539,81,193,820,1,0.15,0.36,1.52,master,TypeScript_Vue_HTML_Shell_JavaScript_Dockerfile_SCSS
EDUC-STUDENT-API,539,2,108,468,0,0,0.2,0.87,master,Java_Shell_Dockerfile
EDUC-PEN-REQUEST-API,539,4,97,542,0,0.01,0.18,1.01,master,Java_Shell_Dockerfile
ols-geocoder-cpf-plugin,539,3,17,40,1,0.01,0.03,0.07,dev,Java
cap-eagle-mobile-inspections,538,2,3,18,1,0,0.01,0.03,develop,JavaScript_Objective-C_Java_Starlark
HMCR,538,3,612,1238,0,0.01,1.14,2.3,master,TSQL_C#_JavaScript_SCSS_Groovy_HTML_Shell_Dockerfile
common-document-generation-service,537,3,58,229,1,0.01,0.11,0.43,master,JavaScript_Groovy_Shell
digital_marketplace,537,11,140,1874,3,0.02,0.26,3.49,development,TypeScript_SCSS_JavaScript_Groovy_HTML_Nix_Shell_Dockerfile
EDUC-SOAM-API,532,2,27,253,0,0,0.05,0.48,master,Java_Shell_Dockerfile
sfts2s3,532,5,8,29,1,0.01,0.02,0.05,master,HTML_JavaScript_CSS_Dockerfile
jag-dps,530,2,356,1052,1,0,0.67,1.98,master,Java_Shell_Dockerfile
PIMS,530,5,1097,1262,3,0.01,2.07,2.38,dev,C#_TypeScript_TSQL_Python_SCSS_Shell_Groovy_JavaScript_Dockerfile_Makefile_HTML_PLpgSQL
namerequest,530,3,372,555,0,0.01,0.7,1.05,main,Vue_TypeScript_Groovy_Sass_SCSS_JavaScript_Makefile_HTML_Dockerfile_Shell
EDUC-STUDENT-ADMIN,527,2,554,1865,0,0,1.05,3.54,master,Vue_JavaScript_Shell_CSS_HTML_Dockerfile_TypeScript
bcsnowdata,527,2,1,63,0,0,0,0.12,master,R
digital-policy,527,7,8,120,0,0.01,0.02,0.23,master,
zeva,524,2,672,123,14,0,1.28,0.23,release-1.25.0,Python_JavaScript_Shell_CSS_SCSS_PLpgSQL_Dockerfile_Groovy_Jupyter Notebook_HTML
digital.gov.bc.ca,522,456,211,1347,2,0.87,0.4,2.58,develop,JavaScript_HTML_Jinja_Dockerfile_CSS_Shell
EDUC-INFRA-COMMON,520,2,92,738,0,0,0.18,1.42,master,CSS_HTML_JavaScript_Shell_Dockerfile_Batchfile
digital-principles,518,23,6,26,0,0.04,0.01,0.05,master,
offSiteTrees,518,2,2,6,0,0,0,0.01,master,R
Similkameen-WQOs,518,2,2,28,0,0,0,0.05,master,R
arcgis_hackers,517,3,2,31,0,0.01,0,0.06,master,Python
AGOL-PullandPushMetadata,517,1,3,7,0,0,0.01,0.01,master,Jupyter Notebook
