Repository,Owner,Name With Owner,Url,Homepage Url,Description,Forks,Is Fork,Is Mirror,Is Private,Is Archived,Is Template,Stars,Disk Usage,Has Issues Enabled,Has Projects Enabled,Has Wiki Enabled,Merge Commit Allowed,Rebase Merge Allowed,Squash Merge Allowed,Created At,Updated At,Pushed At
baserow,BCDevOps,BCDevOps/baserow,https://github.com/BCDevOps/baserow,,BC Gov Containerized Baserow,0,0,4,false,false,false,false,false,true,true,true,true,true,true,2020-11-18T02:10:32Z,2020-11-18T02:10:36Z,2020-11-18T02:10:34Z
terraform-octk-aws-keycloak-account-set-role-setup,BCDevOps,BCDevOps/terraform-octk-aws-keycloak-account-set-role-setup,https://github.com/BCDevOps/terraform-octk-aws-keycloak-account-set-role-setup,,A Terraform module to be used as part of the tooling for setting up access to workload accounts with an AWS landing zone.,0,0,14,false,false,false,false,false,true,true,true,true,true,true,2020-11-25T00:31:19Z,2021-03-06T05:39:27Z,2021-03-11T05:30:47Z
cloudops,BCDevOps,BCDevOps/cloudops,https://github.com/BCDevOps/cloudops,,A repo containing open documentation related to cloud operations processes, tooling, etc. and links to other locations  for non-BCGov, or internal documentation.,0,1,5,false,false,false,false,false,true,true,true,true,true,true,2020-11-27T18:31:49Z,2020-12-01T19:24:52Z,2020-12-01T19:24:50Z
terraform-octk-aws-sea-dns,BCDevOps,BCDevOps/terraform-octk-aws-sea-dns,https://github.com/BCDevOps/terraform-octk-aws-sea-dns,,,0,0,9,false,false,false,false,false,true,true,true,true,true,true,2020-11-27T22:08:57Z,2021-02-26T05:18:27Z,2021-02-12T20:27:16Z
terraform-octk-tfc-workspace-set,BCDevOps,BCDevOps/terraform-octk-tfc-workspace-set,https://github.com/BCDevOps/terraform-octk-tfc-workspace-set,,A Terraform module for provisioning a set of Terraform Cloud workspaces for a team.,0,1,10,false,false,false,false,false,true,true,true,true,true,true,2020-12-01T23:27:04Z,2021-01-22T22:27:49Z,2021-01-22T23:01:36Z
cloud-guardrails-aws,BCDevOps,BCDevOps/cloud-guardrails-aws,https://github.com/BCDevOps/cloud-guardrails-aws,,Tools to support cloud guardrails implementation and compliance checks for AWS.,0,0,1756,true,false,false,false,false,false,true,true,true,true,true,2020-12-03T00:27:11Z,2020-12-03T00:27:13Z,2020-01-09T00:24:23Z
allure-framework-openshift,BCDevOps,BCDevOps/allure-framework-openshift,https://github.com/BCDevOps/allure-framework-openshift,,Openshift configurations to run Allure,0,2,70,false,false,false,false,false,true,true,true,true,true,true,2020-12-04T17:15:40Z,2021-03-31T13:33:53Z,2021-03-31T13:33:50Z
sig-cli,BCDevOps,BCDevOps/sig-cli,https://github.com/BCDevOps/sig-cli,,Special Interest Group on Developing (SIG) Command Line Interface (CLI),0,0,5,false,false,false,false,false,true,true,true,true,true,true,2020-12-10T20:08:50Z,2020-12-10T20:08:59Z,2020-12-10T20:08:56Z
terraform-octk-aws-sea-network-info,BCDevOps,BCDevOps/terraform-octk-aws-sea-network-info,https://github.com/BCDevOps/terraform-octk-aws-sea-network-info,,,0,2,13,false,false,false,false,false,true,true,true,true,true,true,2021-01-13T19:02:33Z,2021-04-13T00:44:23Z,2021-04-13T00:47:16Z
terraform-octk-aws-workload-alb,BCDevOps,BCDevOps/terraform-octk-aws-workload-alb,https://github.com/BCDevOps/terraform-octk-aws-workload-alb,,,0,1,15,false,false,false,false,false,true,true,true,true,true,true,2021-01-13T19:04:04Z,2021-03-05T21:23:47Z,2021-03-05T21:23:45Z
platform-services-documize,BCDevOps,BCDevOps/platform-services-documize,https://github.com/BCDevOps/platform-services-documize,,,0,0,90,false,false,false,false,false,true,true,true,false,false,true,2021-01-21T17:10:12Z,2021-03-19T17:15:15Z,2021-03-19T17:15:13Z
terraform-octk-aws-sea-routing,BCDevOps,BCDevOps/terraform-octk-aws-sea-routing,https://github.com/BCDevOps/terraform-octk-aws-sea-routing,,A Terraform module to automate creation of routing resources for services running within and AWS SEA Landing Zone.,0,0,18,false,false,false,false,false,true,true,true,true,true,true,2021-02-04T23:01:00Z,2021-03-10T22:46:51Z,2021-03-10T22:46:49Z
terraform-octk-aws-workload-ecr,BCDevOps,BCDevOps/terraform-octk-aws-workload-ecr,https://github.com/BCDevOps/terraform-octk-aws-workload-ecr,,A Terraform module to automate creation and management of Elastic Container Registries within an AWS landing zone/SEA.,0,1,9,false,false,false,false,false,true,true,true,true,true,true,2021-02-18T21:45:25Z,2021-03-18T17:37:42Z,2021-03-18T17:37:53Z
terraform-octk-aws-sea-rocketchat-notifications,BCDevOps,BCDevOps/terraform-octk-aws-sea-rocketchat-notifications,https://github.com/BCDevOps/terraform-octk-aws-sea-rocketchat-notifications,,,0,1,13,false,false,false,false,false,true,true,true,true,true,true,2021-02-19T22:25:38Z,2021-02-19T22:26:21Z,2021-03-30T19:22:48Z
terraform-aws-sea-organization-info-extended,BCDevOps,BCDevOps/terraform-aws-sea-organization-info-extended,https://github.com/BCDevOps/terraform-aws-sea-organization-info-extended,,A Terraform module that produces a "view" of an SEA-based AWS Organization, along with "extended" metadata extracted from account-level tags.,0,0,11,false,false,false,false,false,true,true,true,true,true,true,2021-03-15T17:32:04Z,2021-03-26T14:29:34Z,2021-03-26T14:29:32Z
terraform-octk-aws-sea-billing-reports,BCDevOps,BCDevOps/terraform-octk-aws-sea-billing-reports,https://github.com/BCDevOps/terraform-octk-aws-sea-billing-reports,,,0,0,19,false,false,true,false,false,true,true,true,true,true,true,2021-03-26T14:37:56Z,2021-03-26T17:33:13Z,2021-03-26T17:33:10Z
openshift-quota-rec,BCDevOps,BCDevOps/openshift-quota-rec,https://github.com/BCDevOps/openshift-quota-rec,,An exercise for assessing the Province of BC's OpenShift quota, resource, limit and usage patterns by development teams, and making various data models and recommendations for improving resource allocation and capacity planning.,0,0,2713,false,false,true,false,false,true,true,true,true,true,true,2021-03-31T21:34:55Z,2021-04-20T16:29:53Z,2021-04-20T21:31:16Z
terraform-octk-aws-sea-client-vpn-setup,BCDevOps,BCDevOps/terraform-octk-aws-sea-client-vpn-setup,https://github.com/BCDevOps/terraform-octk-aws-sea-client-vpn-setup,,,0,0,7,false,false,false,false,false,true,true,true,true,true,true,2021-04-09T19:26:01Z,2021-04-09T19:29:28Z,2021-04-09T19:29:27Z
